year,home_team,away_team,match_result,draws_last_4y_difference,fifa_points_pre_tournament_difference,fifa_rank_pre_tournament_difference,finalist_difference,finals_before_difference,goals_received_last_4y_difference,goals_scored_last_4y_difference,groups_passed_before_difference,is_host_difference,losses_last_4y_difference,quarter_finalist_difference,quarterfinals_before_difference,round16_before_difference,semi_finalist_difference,semifinals_before_difference,squad_avg_age_difference,squad_total_market_value_eur_difference,winner_difference,wins_last_4y_difference,world_cup_participations_before_difference,world_cup_titles_before_difference,fifa_points_pre_tournament_ratio,goals_scored_last_4y_ratio,goals_received_last_4y_ratio,wins_last_4y_ratio,squad_avg_age_ratio,host_difference
2022,Serbia,Switzerland,Away Win,2,-72.30000000000018,6,0,0,-6,-2,0,0,-8,0,2,-4,0,2,-0.1999999999999993,78500000.0,0,3,1,0,0.9558046848256637,0.9777777777777777,0.8947368421052632,1.1363636363636365,0.9925925925925926,0
2022,Canada,Morocco,Away Win,-7,-88.5,19,0,0,4,37,-1,0,4,-1,0,-1,-1,0,0.6999999999999993,-53800000.0,0,-1,-4,0,0.9433962264150944,1.4157303370786516,1.1333333333333333,0.96875,1.0267175572519083,0
2022,Croatia,Belgium,Draw,4,-171.06999999999994,10,0,1,19,-47,-7,0,6,1,-1,-6,1,0,-0.40000000000000213,-186200000.0,0,-11,-8,0,0.9058352736540229,0.6356589147286822,1.4222222222222223,0.6857142857142857,0.9856115107913669,0
2022,Costa Rica,Germany,Away Win,-1,-146.62000000000012,20,0,-8,1,-65,-16,0,12,0,-15,-8,0,-13,0.5,-866750000.0,0,-6,-14,-4,0.9111507020318625,0.4583333333333333,1.0175438596491229,0.7692307692307693,1.0187265917602997,0
2022,Japan,Spain,Home Win,-6,-155.68000000000006,17,0,-1,2,12,-7,0,5,0,-5,-5,0,-1,2.5,-723000000.0,0,8,-9,-1,0.9092361329741957,1.1043478260869566,1.0526315789473684,1.2580645161290323,1.098814229249012,0
2022,Australia,Denmark,Home Win,-3,-177.8499999999999,28,0,0,-20,-39,-3,0,-4,0,-1,-3,0,0,0.3000000000000007,-314600000.0,0,-10,0,0,0.8932838104610068,0.6388888888888888,0.48717948717948717,0.6774193548387096,1.0110294117647058,0
2022,Tunisia,France,Home Win,-2,-252.24,26,-1,-3,-1,-17,-9,0,8,-1,-8,-7,-1,-6,1.3000000000000007,-967600000.0,0,2,-10,-2,0.8566639011694643,0.8316831683168316,0.975,1.064516129032258,1.049056603773585,0
2022,Saudi Arabia,Mexico,Away Win,4,-207.11000000000013,38,0,0,-20,-47,-8,0,-1,0,-2,-7,0,0,-1.1999999999999993,-150900000.0,0,-15,-11,0,0.8740888448467679,0.591304347826087,0.6875,0.6153846153846154,0.9578947368421052,0
2022,Poland,Argentina,Away Win,-1,-225.2900000000002,23,-1,-5,26,-15,-9,0,10,-1,-7,-7,-1,-3,-0.8000000000000007,-389600000.0,-1,-11,-9,-2,0.8729959185514239,0.8469387755102041,1.962962962962963,0.6666666666666666,0.9712230215827338,0
2022,Ecuador,Senegal,Away Win,4,-120.19999999999982,26,0,0,23,-18,0,0,9,0,-1,0,0,0,-0.5,-81500000.0,0,-15,1,0,0.9241444159056919,0.7804878048780488,1.696969696969697,0.5454545454545454,0.9808429118773946,0
2022,Netherlands,Qatar,Home Win,0,254.6199999999999,-42,0,3,-26,-2,8,-1,-11,1,5,6,0,5,-0.3999999999999986,572350000.0,0,-8,10,0,1.176832952517206,0.9823008849557522,0.6285714285714286,0.7894736842105263,0.9851851851851853,-1
2022,IR Iran,USA,Away Win,-5,-62.87000000000012,4,0,0,-25,-33,-5,0,-8,0,-2,-4,0,-1,3.6999999999999993,-217870000.0,0,-9,-5,0,0.9613697249735788,0.7226890756302521,0.46808510638297873,0.7567567567567568,1.1468253968253967,0
2022,Wales,England,Away Win,2,-158.6500000000001,14,0,-1,17,-68,-11,0,8,-1,-8,-7,0,-3,0.0,-1099850000.0,0,-12,-14,-1,0.9082136224522265,0.4426229508196721,1.5,0.6363636363636364,1.0,0
2022,Cameroon,Serbia,Draw,1,-92.17999999999984,22,0,0,-21,-36,-6,0,1,0,-4,-1,0,-2,-0.5,-204500000.0,0,-6,-5,0,0.9410470574692061,0.5909090909090909,0.5882352941176471,0.76,0.9813432835820896,0
2022,Korea Republic,Ghana,Away Win,0,137.29999999999995,-33,0,0,5,51,0,0,-3,0,0,0,0,1,3.1000000000000014,-52420000.0,0,18,7,0,1.0985642498205312,2.159090909090909,1.1515151515151516,2.125,1.125506072874494,0
2022,Brazil,Switzerland,Home Win,-3,205.37999999999988,-14,0,6,-38,21,12,0,-12,1,12,5,0,10,0.8999999999999986,859000000.0,0,15,10,5,1.1255440363831972,1.2333333333333334,0.3333333333333333,1.6818181818181819,1.0333333333333332,0
2022,Portugal,Uruguay,Home Win,0,37.84999999999991,-5,0,-1,-8,45,-6,0,-5,1,-4,-2,0,-2,-1.0,487300000.0,0,10,-6,-2,1.0230974363981424,1.7142857142857142,0.8095238095238095,1.5,0.9640287769784173,0
2022,Japan,Costa Rica,Away Win,-6,55.950000000000045,-7,0,0,-18,72,1,0,-9,0,-1,1,0,0,0.6000000000000014,135250000.0,0,19,1,0,1.0372109418125952,2.309090909090909,0.6896551724137931,1.95,1.022058823529412,0
