home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Officials,Round,Date,Score,Referee,Notes,Host,Year,home_goal,away_goal,home_goal_long,away_goal_long,home_own_goal,away_own_goal,home_penalty_goal,away_penalty_goal,home_penalty_miss_long,away_penalty_miss_long,home_penalty_shootout_goal_long,away_penalty_shootout_goal_long,home_penalty_shootout_miss_long,away_penalty_shootout_miss_long,home_red_card,away_red_card,home_yellow_red_card,away_yellow_red_card,home_yellow_card_long,away_yellow_card_long,home_substitute_in_long,away_substitute_in_long,year,home_version,home_continent,home_is_host,home_goals_scored_last_4y,home_goals_received_last_4y,home_wins_last_4y,home_losses_last_4y,home_draws_last_4y,home_world_cup_titles_before,home_squad_total_market_value_eur,home_fifa_rank_pre_tournament,home_fifa_points_pre_tournament,home_squad_avg_age,home_world_cup_participations_before,home_groups_passed_before,home_round16_before,home_quarterfinals_before,home_semifinals_before,home_finals_before,home_winner,home_finalist,home_semi_finalist,home_quarter_finalist,away_version,away_continent,away_is_host,away_goals_scored_last_4y,away_goals_received_last_4y,away_wins_last_4y,away_losses_last_4y,away_draws_last_4y,away_world_cup_titles_before,away_squad_total_market_value_eur,away_fifa_rank_pre_tournament,away_fifa_points_pre_tournament,away_squad_avg_age,away_world_cup_participations_before,away_groups_passed_before,away_round16_before,away_quarterfinals_before,away_semifinals_before,away_finals_before,away_winner,away_finalist,away_semi_finalist,away_quarter_finalist,match_result
Brazil,Belgium,1,2.8,,2,0.5,,Tite,Miranda,Roberto Martínez,Eden Hazard,42873,"Kazan Arena, Kazan",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Jair Marrufo (4th) · Daniele Orsato (VAR),Quarter-finals,2018-07-06,1–2,Milorad Mažić,,Russia,2018,Renato Augusto · 76,Kevin De Bruyne · 32,['76&rsquor;|1:2|Renato Augusto|Assist:|Philippe Coutinho'],['32&rsquor;|0:2|Kevin De Bruyne|Assist:|Romelu Lukaku'],,Fernandinho (OG) · 13,,,,,,,,,,,,,"['85&rsquor;|1:2|Fernandinho', '90&rsquor;|1:2|Fagner']","['47&rsquor;|0:2|Toby Alderweireld', '71&rsquor;|0:2|Thomas Meunier']","['46&rsquor;|0:2|Roberto Firmino|for Willian', '58&rsquor;|0:2|Douglas Costa|for Gabriel Jesus', '73&rsquor;|0:2|Renato Augusto|for Paulinho']","['83&rsquor;|1:2|Thomas Vermaelen|for Nacer Chadli', '87&rsquor;|1:2|Youri Tielemans|for Romelu Lukaku']",2018,2018,South America,0,95,22,33,4,8,5,980020000.0,2,1430.0,28.6,20,18,10,14,10,6,0,0,0,1,2018,Europe,0,116,38,30,5,8,0,753250000.0,3,1298.0,27.59,12,8,7,2,1,0,0,0,1,1,Away Win
Sweden,Switzerland,1,1.3,,0,0.7,,Janne Andersson,Andreas Granqvist,Vladimir Petković,Valon Behrami,64042,"Gazprom Arena, Sankt-Petersburg",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Nawaf Shukralla (4th) · Daniele Orsato (VAR),Round of 16,2018-07-03,1–0,Damir Skomina,,Russia,2018,Emil Forsberg · 66,,['66&rsquor;|1:0|Emil Forsberg|Assist:|Ola Toivonen'],,,,,,,,,,,,,Michael Lang · 90+3,,,['31&rsquor;|0:0|Mikael Lustig'],"['61&rsquor;|0:0|Valon Behrami', '68&rsquor;|1:0|Granit Xhaka']","['82&rsquor;|1:0|Martin Olsson|for Emil Forsberg', '82&rsquor;|1:0|Emil Krafth|for Mikael Lustig', '90+1&rsquor;|1:0|Isaac Kiese Thelin|for Marcus Berg']","['73&rsquor;|1:0|Breel Embolo|for Steven Zuber', '73&rsquor;|1:0|Haris Seferović|for Blerim Džemaili']",2018,2018,Europe,0,71,40,20,13,15,0,119640000.0,24,879.0,28.24,11,8,4,4,3,1,0,0,0,1,2018,Europe,0,75,31,25,8,7,0,217880000.0,6,1198.0,27.18,10,6,5,3,0,0,0,0,0,0,Home Win
Colombia,England,1,0.6,3.0,1,2.1,4.0,José Pekerman,Radamel Falcao,Gareth Southgate,Harry Kane,44190,"Otkrytie Arena, Moskva",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Matt Conger (4th) · Danny Makkelie (VAR),Round of 16,2018-07-03,(3) 1–1 (4),Mark Geiger,England won on penalty kicks following extra time,Russia,2018,Yerry Mina · 90+3,,['90+3&rsquor;|1:1|Yerry Mina|Assist:|Juan Cuadrado'],,,,,Harry Kane (P) · 57,,,"['1|1:0|Radamel Falcao', '3|2:1|Juan Cuadrado', '5|3:2|Luis Muriel']","['2|1:1|Harry Kane', '4|2:2|Marcus Rashford', '8|3:3|Kieran Trippier', '10|3:4|Eric Dier']","['7|3:2|Mateus Uribe', '9|3:3|Carlos Bacca']",['6|3:2|Jordan Henderson'],,,,,"['41&rsquor;|0:0|Wílmar Barrios', '52&rsquor;|0:0|Santiago Arias', '54&rsquor;|0:0|Carlos Sánchez', '63&rsquor;|0:1|Radamel Falcao', '64&rsquor;|0:1|Carlos Bacca', '118&rsquor;|1:1|Juan Cuadrado']","['56&rsquor;|0:0|Jordan Henderson', '69&rsquor;|0:1|Jesse Lingard']","['61&rsquor;|0:1|Carlos Bacca|for Jefferson Lerma', '79&rsquor;|0:1|Mateus Uribe|for Carlos Sánchez', '88&rsquor;|0:1|Luis Muriel|for Juan Quintero', '116&rsquor;|1:1|Cristián Zapata|for Santiago Arias']","['81&rsquor;|0:1|Eric Dier|for Dele Alli', '88&rsquor;|0:1|Jamie Vardy|for Raheem Sterling', '102&rsquor;|1:1|Danny Rose|for Ashley Young', '113&rsquor;|1:1|Marcus Rashford|for Kyle Walker']",2018,2018,South America,0,57,37,19,11,13,0,250850000.0,16,985.0,28.39,5,2,2,1,0,0,0,0,0,0,2018,Europe,0,79,28,29,5,10,1,873130000.0,12,1050.0,26.05,14,11,6,8,2,1,0,0,1,1,Draw
Brazil,Mexico,2,2.7,,0,0.7,,Tite,Thiago Silva,Juan Carlos Osorio,Rafael Márquez,41970,"Cosmos Arena, Samara",Gianluca Rocchi (Referee) · Elenito Di Liberatore (AR1) · Mauro Tonolini (AR2) · Antonio Matéu Lahoz (4th) · Massimiliano Irrati (VAR),Round of 16,2018-07-02,2–0,Gianluca Rocchi,,Russia,2018,Neymar · 51|Roberto Firmino · 88,,"['51&rsquor;|1:0|Neymar|Assist:|Willian', '88&rsquor;|2:0|Roberto Firmino|Assist:|Neymar']",,,,,,,,,,,,,,,,"['43&rsquor;|0:0|Filipe Luís', '59&rsquor;|1:0|Casemiro']","['38&rsquor;|0:0|Edson Álvarez', '55&rsquor;|1:0|Héctor Herrera', '77&rsquor;|1:0|Carlos Salcedo', '90+2&rsquor;|2:0|Andrés Guardado']","['80&rsquor;|1:0|Fernandinho|for Paulinho', '86&rsquor;|1:0|Roberto Firmino|for Philippe Coutinho', '90+1&rsquor;|2:0|Marquinhos|for Willian']","['46&rsquor;|0:0|Miguel Layún|for Rafael Márquez', '55&rsquor;|1:0|Jonathan dos Santos|for Edson Álvarez', '60&rsquor;|1:0|Raúl Jiménez|for Javier Hernández']",2018,2018,South America,0,95,22,33,4,8,5,980020000.0,2,1430.0,28.6,20,18,10,14,10,6,0,0,0,1,2018,North America,0,107,67,37,12,18,0,152150000.0,15,989.0,29.24,15,8,7,2,0,0,0,0,0,0,Home Win
Belgium,Japan,3,2.5,,2,0.7,,Roberto Martínez,Eden Hazard,Akira Nishino,Makoto Hasebe,41466,"Rostov Arena, Rostov-na-Donu",Malang Diédhiou (Referee) · Djibril Camara (AR1) · El Hadji Malick Samba (AR2) · Bakary Papa Gassama (4th) · Felix Zwayer (VAR),Round of 16,2018-07-02,3–2,Malang Diédhiou,,Russia,2018,Jan Vertonghen · 69|Marouane Fellaini · 74|Nacer Chadli · 90+4,Genki Haraguchi · 48|Takashi Inui · 52,"['69&rsquor;|1:2|Jan Vertonghen', '74&rsquor;|2:2|Marouane Fellaini|Assist:|Eden Hazard', '90+4&rsquor;|3:2|Nacer Chadli|Assist:|Thomas Meunier']","['48&rsquor;|0:1|Genki Haraguchi|Assist:|Gaku Shibasaki', '52&rsquor;|0:2|Takashi Inui|Assist:|Shinji Kagawa']",,,,,,,,,,,,,,,,['40&rsquor;|0:0|Gaku Shibasaki'],"['65&rsquor;|0:2|Nacer Chadli|for Yannick Carrasco', '65&rsquor;|0:2|Marouane Fellaini|for Dries Mertens']","['81&rsquor;|2:2|Hotaru Yamaguchi|for Gaku Shibasaki', '81&rsquor;|2:2|Keisuke Honda|for Genki Haraguchi']",2018,2018,Europe,0,116,38,30,5,8,0,753250000.0,3,1298.0,27.59,12,8,7,2,1,0,0,0,1,1,2018,Asia,0,107,50,28,12,11,0,75520000.0,61,520.0,28.58,5,2,2,0,0,0,0,0,0,0,Home Win
Spain,Russia,1,1.8,3.0,1,1.0,4.0,Fernando Hierro,Sergio Ramos,Stanislav Cherchesov,Igor Akinfeev,78011,"Olimpiyskiy stadion Luzhniki, Moskva",Björn Kuipers (Referee) · Sander van Roekel (AR1) · Erwin Zeinstra (AR2) · Clément Turpin (4th) · Danny Makkelie (VAR),Round of 16,2018-07-01,(3) 1–1 (4),Björn Kuipers,Russia won on penalty kicks following extra time,Russia,2018,,,,,Sergei Ignashevich (OG) · 12,,,Artem Dzyuba (P) · 42,,,"['1|1:0|Andrés Iniesta', '3|2:1|Gerard Piqué', '7|3:3|Sergio Ramos']","['2|1:1|Fyodor Smolov', '4|2:2|Sergei Ignashevich', '6|2:3|Aleksandr Golovin', '8|3:4|Denis Cheryshev']","['5|2:2|Koke', '9|3:4|Iago Aspas']",,,,,,['40&rsquor;|1:0|Gerard Piqué'],"['54&rsquor;|1:1|Ilya Kutepov', '71&rsquor;|1:1|Roman Zobnin']","['67&rsquor;|1:1|Andrés Iniesta|for David Silva', '70&rsquor;|1:1|Dani Carvajal|for Nacho', '80&rsquor;|1:1|Iago Aspas|for Diego Costa', '104&rsquor;|1:1|Rodrigo|for Marco Asensio']","['46&rsquor;|1:1|Vladimir Granat|for Yuri Zhirkov', '61&rsquor;|1:1|Denis Cheryshev|for Aleksandr Samedov', '65&rsquor;|1:1|Fyodor Smolov|for Artem Dzyuba', '97&rsquor;|1:1|Aleksandr Erokhin|for Daler Kuzyaev']",2018,2018,Europe,0,103,29,29,7,8,1,973030000.0,10,1125.0,28.49,14,9,7,5,1,1,0,0,0,0,2018,Europe,1,65,54,15,16,11,0,161640000.0,70,456.0,28.84,3,0,0,0,0,0,0,0,0,1,Draw
Croatia,Denmark,1,2.5,3.0,1,0.9,2.0,Zlatko Dalić,Luka Modrić,Åge Hareide,Simon Kjær,40851,"Stadion Nizhny Novgorod, Nizhny Novgorod",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Enrique Cáceres (4th) · Mauro Vigliano (VAR),Round of 16,2018-07-01,(3) 1–1 (2),Néstor Pitana,Croatia won on penalty kicks following extra time,Russia,2018,Mario Mandžukić · 4,Mathias Jørgensen · 1,['4&rsquor;|1:1|Mario Mandžukić'],['1&rsquor;|0:1|Mathias Jørgensen|Assist:|Thomas Delaney'],,,,,['116&rsquor;|1:1|Luka Modrić|Penalty saved by Kasper Schmeichel'],,"['4|1:1|Andrej Kramarić', '6|2:2|Luka Modrić', '10|3:2|Ivan Rakitić']","['3|0:1|Simon Kjær', '5|1:2|Michael Krohn-Dehli']","['2|0:0|Milan Badelj', '8|2:2|Josip Pivarić']","['1|0:0|Christian Eriksen', '7|2:2|Lasse Schöne', '9|2:2|Nicolai Jørgensen']",,,,,,['115&rsquor;|1:1|Mathias Jørgensen'],"['71&rsquor;|1:1|Mateo Kovačić|for Marcelo Brozović', '81&rsquor;|1:1|Josip Pivarić|for Ivan Strinić', '97&rsquor;|1:1|Andrej Kramarić|for Ivan Perišić', '108&rsquor;|1:1|Milan Badelj|for Mario Mandžukić']","['46&rsquor;|1:1|Lasse Schöne|for Andreas Christensen', '66&rsquor;|1:1|Nicolai Jørgensen|for Andreas Cornelius', '98&rsquor;|1:1|Michael Krohn-Dehli|for Thomas Delaney', '106&rsquor;|1:1|Pione Sisto|for Martin Braithwaite']",2018,2018,Europe,0,78,29,25,8,10,0,363640000.0,20,945.0,27.9,4,1,1,1,1,0,0,1,1,1,2018,Europe,0,61,36,17,11,12,0,259040000.0,12,1051.0,27.14,4,3,3,1,0,0,0,0,0,0,Draw
France,Argentina,4,2.2,,3,0.8,,Didier Deschamps,Hugo Lloris,Jorge Sampaoli,Lionel Messi,42873,"Kazan Arena, Kazan",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Julio Bascuñán (4th) · Massimiliano Irrati (VAR),Round of 16,2018-06-30,4–3,Alireza Faghani,,Russia,2018,Benjamin Pavard · 57|Kylian Mbappé · 64|Kylian Mbappé · 68,Ángel Di María · 41|Gabriel Mercado · 48|Sergio Agüero · 90+3,"['57&rsquor;|2:2|Benjamin Pavard|Assist:|Lucas Hernández', '64&rsquor;|3:2|Kylian Mbappé', '68&rsquor;|4:2|Kylian Mbappé|Assist:|Olivier Giroud']","['41&rsquor;|1:1|Ángel Di María|Assist:|Éver Banega', '48&rsquor;|1:2|Gabriel Mercado|Assist:|Lionel Messi', '90+3&rsquor;|4:3|Sergio Agüero|Assist:|Lionel Messi']",,,Antoine Griezmann (P) · 13,,,,,,,,,,,,"['72&rsquor;|4:2|Blaise Matuidi', '73&rsquor;|4:2|Benjamin Pavard', '90+3&rsquor;|4:3|Olivier Giroud']","['11&rsquor;|0:0|Marcos Rojo', '19&rsquor;|1:0|Nicolás Tagliafico', '43&rsquor;|1:1|Javier Mascherano', '49&rsquor;|1:2|Éver Banega', '90+3&rsquor;|4:3|Nicolás Otamendi']","['75&rsquor;|4:2|Corentin Tolisso|for Blaise Matuidi', '83&rsquor;|4:2|Nabil Fekir|for Antoine Griezmann', '89&rsquor;|4:2|Florian Thauvin|for Kylian Mbappé']","['46&rsquor;|1:1|Federico Fazio|for Marcos Rojo', '66&rsquor;|3:2|Sergio Agüero|for Enzo Pérez', '75&rsquor;|4:2|Maximiliano Meza|for Cristian Pavón']",2018,2018,Europe,0,96,45,33,8,8,1,1029470000.0,7,1198.0,26.03,14,8,6,7,5,2,1,1,1,1,2018,South America,0,95,40,27,8,12,2,678320000.0,5,1241.0,29.52,16,13,8,9,5,5,0,0,0,0,Home Win
Uruguay,Portugal,2,0.6,,1,1.0,,Óscar Tabárez,Diego Godín,Fernando Santos,Cristiano Ronaldo,44287,"Olimpiyskiy Stadion Fisht, Sochi",César Arturo Ramos (Referee) · Marvin Torrentera (AR1) · Miguel Ángel Hernández (AR2) · Jair Marrufo (4th) · Mark Geiger (VAR),Round of 16,2018-06-30,2–1,César Arturo Ramos,,Russia,2018,Edinson Cavani · 7|Edinson Cavani · 62,Pepe · 55,"['7&rsquor;|1:0|Edinson Cavani|Assist:|Luis Suárez', '62&rsquor;|2:1|Edinson Cavani|Assist:|Rodrigo Bentancur']",['55&rsquor;|1:1|Pepe|Assist:|Raphaël Guerreiro'],,,,,,,,,,,,,,,,['90+3&rsquor;|2:1|Cristiano Ronaldo'],"['63&rsquor;|2:1|Cristian Rodríguez|for Rodrigo Bentancur', '74&rsquor;|2:1|Cristhian Stuani|for Edinson Cavani', '81&rsquor;|2:1|Carlos Sánchez|for Nahitan Nández']","['65&rsquor;|2:1|Ricardo Quaresma|for Adrien Silva', '74&rsquor;|2:1|André Silva|for Gonçalo Guedes', '85&rsquor;|2:1|Manuel Fernandes|for João Mário']",2018,2018,South America,0,67,42,21,12,8,2,372630000.0,14,1018.0,28.13,12,9,4,5,4,1,0,0,0,1,2018,Europe,0,100,36,33,10,9,0,494010000.0,4,1273.0,28.37,6,3,2,2,2,0,0,0,0,0,Home Win
Japan,Poland,0,0.7,,1,1.4,,Akira Nishino,Eiji Kawashima,Adam Nawałka,Robert Lewandowski,42189,"Volgograd Arena, Volgograd",Janny Sikazwe (Referee) · Jerson dos Santos (AR1) · Zakhele Siwela (AR2) · Ricardo Montero (4th) · Daniele Orsato (VAR),Group stage,2018-06-28,0–1,Janny Sikazwe,,Russia,2018,,Jan Bednarek · 59,,['59&rsquor;|0:1|Jan Bednarek|Assist:|Rafał Kurzawa'],,,,,,,,,,,,,,,['66&rsquor;|0:1|Tomoaki Makino'],,"['47&rsquor;|0:0|Yuya Osako|for Shinji Okazaki', '65&rsquor;|0:1|Takashi Inui|for Takashi Usami', '82&rsquor;|0:1|Makoto Hasebe|for Yoshinori Mutō']","['79&rsquor;|0:1|Łukasz Teodorczyk|for Piotr Zieliński', '80&rsquor;|0:1|Sławomir Peszko|for Rafał Kurzawa']",2018,2018,Asia,0,107,50,28,12,11,0,75520000.0,61,520.0,28.58,5,2,2,0,0,0,0,0,0,0,2018,Europe,0,91,40,22,5,13,0,274280000.0,8,1182.0,28.31,7,5,2,2,2,0,0,0,0,0,Away Win
Senegal,Colombia,0,0.5,,1,0.3,,Aliou Cissé,Cheikhou Kouyaté,José Pekerman,Radamel Falcao,41970,"Cosmos Arena, Samara",Milorad Mažić (Referee) · Milovan Ristić (AR1) · Dalibor Đurđević (AR2) · Bamlak Tessema (4th) · Danny Makkelie (VAR),Group stage,2018-06-28,0–1,Milorad Mažić,,Russia,2018,,Yerry Mina · 74,,['74&rsquor;|0:1|Yerry Mina|Assist:|Juan Quintero'],,,,,,,,,,,,,,,"[""51&rsquor;|0:0|M'Baye Niang""]",['45&rsquor;|0:0|Johan Mojica'],"['74&rsquor;|0:0|Moussa Wagué|for Youssouf Sabaly', '80&rsquor;|0:1|Moussa Konaté|for Keita Baldé', ""86&rsquor;|0:1|Diafra Sakho|for M'Baye Niang""]","['31&rsquor;|0:0|Luis Muriel|for James Rodríguez', '83&rsquor;|0:1|Jefferson Lerma|for Mateus Uribe', '89&rsquor;|0:1|Miguel Borja|for Radamel Falcao']",2018,2018,Africa,0,70,25,27,5,13,0,299200000.0,27,837.0,26.99,1,1,1,1,0,0,0,0,0,0,2018,South America,0,57,37,19,11,13,0,250850000.0,16,985.0,28.39,5,2,2,1,0,0,0,0,0,0,Away Win
England,Belgium,0,0.9,,1,1.3,,Gareth Southgate,Eric Dier,Roberto Martínez,Thibaut Courtois,33973,"Kaliningrad Stadium, Kaliningrad",Damir Skomina (Referee) · Jure Praprotnik (AR1) · Robert Vukan (AR2) · Mohammed Abdulla Hassan (4th) · Artur Soares Dias (VAR),Group stage,2018-06-28,0–1,Damir Skomina,,Russia,2018,,Adnan Januzaj · 51,,['51&rsquor;|0:1|Adnan Januzaj|Assist:|Youri Tielemans'],,,,,,,,,,,,,,,,"['19&rsquor;|0:0|Youri Tielemans', '33&rsquor;|0:0|Leander Dendoncker']","['46&rsquor;|0:0|Harry Maguire|for John Stones', '79&rsquor;|0:1|Danny Welbeck|for Marcus Rashford']","['74&rsquor;|0:1|Vincent Kompany|for Thomas Vermaelen', '86&rsquor;|0:1|Dries Mertens|for Adnan Januzaj']",2018,2018,Europe,0,79,28,29,5,10,1,873130000.0,12,1050.0,26.05,14,11,6,8,2,1,0,0,1,1,2018,Europe,0,116,38,30,5,8,0,753250000.0,3,1298.0,27.59,12,8,7,2,1,0,0,0,1,1,Away Win
Panama,Tunisia,1,0.6,,2,2.1,,Hernán Darío Gómez,Román Torres,Nabil Maâloul,Aymen Mathlouthi,37168,"Mordovia Arena, Saransk",Nawaf Shukralla (Referee) · Yaser Tulefat (AR1) · Taleb Salem Al Marri (AR2) · Mehdi Abid Charef (4th) · Tiago Martins (VAR),Group stage,2018-06-28,1–2,Nawaf Shukralla,,Russia,2018,,Fakhreddine Ben Youssef · 51|Wahbi Khazri · 66,,"['51&rsquor;|1:1|Fakhreddine Ben Youssef|Assist:|Wahbi Khazri', '66&rsquor;|1:2|Wahbi Khazri|Assist:|Oussama Haddadi']",Yassine Meriah (OG) · 33,,,,,,,,,,,,,,"['78&rsquor;|1:2|Ricardo Ávila', '79&rsquor;|1:2|Gabriel Gómez', '90+6&rsquor;|1:2|Luis Tejada']","['44&rsquor;|1:0|Ferjani Sassi', '71&rsquor;|1:2|Anice Badri', '90+3&rsquor;|1:2|Ghaylène Chaalali']","['46&rsquor;|1:0|Harold Cummings|for Gabriel Torres', '56&rsquor;|1:1|Luis Tejada|for Román Torres', '81&rsquor;|1:2|Abdiel Arroyo|for Ricardo Ávila']","['46&rsquor;|1:0|Anice Badri|for Ferjani Sassi', '77&rsquor;|1:2|Ahmed Khalil|for Naïm Sliti', '89&rsquor;|1:2|Bassem Srarfi|for Wahbi Khazri']",2018,2018,North America,0,58,62,17,18,17,0,6270000.0,55,571.0,28.87,0,0,0,0,0,0,0,0,0,0,2018,Africa,0,66,44,21,10,14,0,58820000.0,21,909.0,26.53,4,0,0,0,0,0,0,0,0,0,Away Win
Korea Republic,Germany,2,1.7,,0,2.7,,Shin Taeyong,Son Heung-min,Joachim Löw,Manuel Neuer,41835,"Kazan Arena, Kazan",Mark Geiger (Referee) · Joe Fletcher (AR1) · Frank Anderson (AR2) · Julio Bascuñán (4th) · Danny Makkelie (VAR),Group stage,2018-06-27,2–0,Mark Geiger,,Russia,2018,Kim Young-gwon · 90+3|Son Heung-min · 90+6,,"['90+3&rsquor;|1:0|Kim Young-gwon', '90+6&rsquor;|2:0|Son Heung-min|Assist:|Ju Se-jong']",,,,,,,,,,,,,,,,"['9&rsquor;|0:0|Jung Woo-young', '23&rsquor;|0:0|Lee Jae-sung', '48&rsquor;|0:0|Moon Seon-min', '65&rsquor;|0:0|Son Heung-min']",,"['56&rsquor;|0:0|Hwang Hee-chan|for Koo Ja-cheol', '69&rsquor;|0:0|Ju Se-jong|for Moon Seon-min', '79&rsquor;|0:0|Go Yo-han|for Hwang Hee-chan']","['58&rsquor;|0:0|Mario Gómez|for Sami Khedira', '63&rsquor;|0:0|Thomas Müller|for Leon Goretzka', '78&rsquor;|0:0|Julian Brandt|for Jonas Hector']",2018,2018,Asia,0,92,51,33,14,11,0,87430000.0,57,543.0,27.79,9,2,2,1,1,0,0,0,0,0,2018,Europe,0,111,46,30,10,10,4,882120000.0,1,1558.0,27.14,18,18,10,16,13,8,0,0,0,0,Home Win
Mexico,Sweden,0,1.4,,3,2.4,,Juan Carlos Osorio,Andrés Guardado,Janne Andersson,Robin Olsen,33061,"Stadion Central'nyj, Yekaterinburg",Néstor Pitana (Referee) · Hernán Maidana (AR1) · Juan Pablo Belatti (AR2) · Andrés Cunha (4th) · Mauro Vigliano (VAR),Group stage,2018-06-27,0–3,Néstor Pitana,,Russia,2018,,Ludwig Augustinsson · 50,,['50&rsquor;|0:1|Ludwig Augustinsson|Assist:|Viktor Claesson'],,Edson Álvarez (OG) · 74,,Andreas Granqvist (P) · 62,,,,,,,,,,,"['1&rsquor;|0:0|Jesús Gallardo', '61&rsquor;|0:1|Héctor Moreno', '86&rsquor;|0:3|Miguel Layún']","['26&rsquor;|0:0|Seb Larsson', '88&rsquor;|0:3|Mikael Lustig']","['65&rsquor;|0:2|Marco Fabián|for Jesús Gallardo', '75&rsquor;|0:3|Jesús Corona|for Andrés Guardado', '89&rsquor;|0:3|Oribe Peralta|for Miguel Layún']","['57&rsquor;|0:1|Gustav Svensson|for Seb Larsson', '68&rsquor;|0:2|Isaac Kiese Thelin|for Marcus Berg', '80&rsquor;|0:3|Oscar Hiljemark|for Albin Ekdal']",2018,2018,North America,0,107,67,37,12,18,0,152150000.0,15,989.0,29.24,15,8,7,2,0,0,0,0,0,0,2018,Europe,0,71,40,20,13,15,0,119640000.0,24,879.0,28.24,11,8,4,4,3,1,0,0,0,1,Away Win
Switzerland,Costa Rica,2,1.4,,2,1.5,,Vladimir Petković,Stephan Lichtsteiner,Oscar Ramírez,Bryan Ruiz,43319,"Stadion Nizhny Novgorod, Nizhny Novgorod",Clément Turpin (Referee) · Nicolas Danos (AR1) · Cyril Gringore (AR2) · Norbert Hauata (4th) · Felix Zwayer (VAR),Group stage,2018-06-27,2–2,Clément Turpin,,Russia,2018,Blerim Džemaili · 31|Josip Drmić · 88,Kendall Waston · 56,"['31&rsquor;|1:0|Blerim Džemaili|Assist:|Breel Embolo', '88&rsquor;|2:1|Josip Drmić|Assist:|Denis Zakaria']",['56&rsquor;|1:1|Kendall Waston|Assist:|Joel Campbell'],,Yann Sommer (OG) · 90+3,,,,['90+3&rsquor;|2:1|Bryan Ruiz|Penalty Miss'],,,,,,,,,"['37&rsquor;|1:0|Stephan Lichtsteiner', '75&rsquor;|1:1|Denis Zakaria', '83&rsquor;|1:1|Fabian Schär']","['11&rsquor;|0:0|Cristian Gamboa', '29&rsquor;|0:0|Joel Campbell', '89&rsquor;|2:1|Kendall Waston']","['60&rsquor;|1:1|Denis Zakaria|for Valon Behrami', '69&rsquor;|1:1|Josip Drmić|for Mario Gavranović', '81&rsquor;|1:1|Michael Lang|for Xherdan Shaqiri']","['81&rsquor;|1:1|Rodney Wallace|for Daniel Colindres', '90+1&rsquor;|2:1|Randall Azofeifa|for David Guzmán', '90+3&rsquor;|2:1|Ian Smith|for Cristian Gamboa']",2018,2018,Europe,0,75,31,25,8,7,0,217880000.0,6,1198.0,27.18,10,6,5,3,0,0,0,0,0,0,2018,North America,0,70,59,21,15,13,0,39960000.0,23,884.0,29.78,4,2,2,1,0,0,0,0,0,0,Draw
Serbia,Brazil,0,0.8,,2,1.4,,Mladen Krstajić,Aleksandar Kolarov,Tite,Miranda,44190,"Otkrytie Arena, Moskva",Alireza Faghani (Referee) · Reza Sokhandan (AR1) · Mohammadreza Mansouri (AR2) · Nawaf Shukralla (4th) · Massimiliano Irrati (VAR),Group stage,2018-06-27,0–2,Alireza Faghani,,Russia,2018,,Paulinho · 36|Thiago Silva · 68,,"['36&rsquor;|0:1|Paulinho|Assist:|Philippe Coutinho', '68&rsquor;|0:2|Thiago Silva|Assist:|Neymar']",,,,,,,,,,,,,,,"['33&rsquor;|0:0|Adem Ljajić', '48&rsquor;|0:1|Nemanja Matić', '71&rsquor;|0:2|Aleksandar Mitrović']",,"['75&rsquor;|0:2|Andrija Živković|for Adem Ljajić', '82&rsquor;|0:2|Nemanja Radonjić|for Filip Kostić', '89&rsquor;|0:2|Luka Jović|for Aleksandar Mitrović']","['10&rsquor;|0:0|Filipe Luís|for Marcelo', '66&rsquor;|0:1|Fernandinho|for Paulinho', '80&rsquor;|0:2|Renato Augusto|for Philippe Coutinho']",2018,2018,Europe,0,55,45,16,13,8,0,283720000.0,34,750.0,26.76,11,7,2,5,2,0,0,0,0,0,2018,South America,0,95,22,33,4,8,5,980020000.0,2,1430.0,28.6,20,18,10,14,10,6,0,0,0,1,Away Win
